title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Ca c'est Bruxelles,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,,/audio/Ca c'est Bruxelles2.mp3,"Piano,Contemporary,Film","Bruxelles, Ville en Images",
Cabb,Van Nueten,dance performance,Import/Export,2006,,,,,,/audio/Cabb 1.mp3,"Electronic,Stage",,
Caitlin's Trampoline,Van Nueten,,,,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/Caitlin's Trampoline (orch).mp3,"Piano,Orchestral,Film,Contemporary",Pacman,/albumcovers/Pacman.webp
Caitlin's Trampoline,Van Nueten,feature film,Milo,2013,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Caitlin's Trampoline.mp3,"Piano,Classical,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Can't Ya Hear Me Cryin',Howlin' Wolf (1910-1976),,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Can't You Hear Me Cryin'.mp3,"Live,Rock,Pop,Song",,
Candy,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Candy.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Carrousel,Van Nueten,musical,Soepkinders,2005,,,,,,/audio/Carrousel.mp3,"Electronic,Contemporary",,
Change,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Change.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Cleaning,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,https://www.youtube.com/watch?v=apEQQeDlGb8&index=3&list=PLsmvutRI5QqW9uZ-ru8GQwx5J0aX3okce,/audio/Cleaning 1.mp3,"Contemporary,Electronic,Stage",bâche,/albumcovers/bâche.webp
Cleaning,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,https://www.youtube.com/watch?v=apEQQeDlGb8&index=3&list=PLsmvutRI5QqW9uZ-ru8GQwx5J0aX3okce,/audio/Cleaning 2.mp3,"Contemporary,Electronic,Stage",bâche,/albumcovers/bâche.webp
Contact I. Contact,Van Nueten,,,2018,,Sony Classical,,,,/audio/Contact I. Contact.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Contact II. Largo,Van Nueten,,,2018,,Sony Classical,,,,/audio/Contact II. Largo.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Contact III. Sudden and Unexpected Return of the Pacman,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/2qJAHXQE03V3xWgovsAZb3?si=20188bba054b4fec,,/audio/Contact III Sudden and Unexpected Return of the Pacman1.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Contact III. Sudden and Unexpected Return of the Pacman,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/2qJAHXQE03V3xWgovsAZb3?si=20188bba054b4fec,,/audio/Contact III Sudden and Unexpected Return of the Pacman1.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Contact IV. More Contact,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/7GV5gSskOVAbcJVDiHkxCI?si=9d26f44512e64588,,/audio/Contact IV More Contact.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Convertible Chaos,Stuyven,,,1999,Daan,Heavenhotel,,,,/audio/Convertible Chaos.mp3,"Pop,Song,Electronic",Profools,
Corporate,Van Nueten,advertisement,X,2007,"Vanhamel, Gevaert, Van Nueten, Van den Berghe",,,,,/audio/Corporate 1.mp3,Film,,
Corporate,Van Nueten,advertisement,X,2007,"Vanhamel, Gevaert, Van Nueten, Van den Berghe",,,,,/audio/Corporate 2.mp3,Film,,
Corpus Christi Carol,Traditional/Benjamin Britten,dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/Corpus Christi Carol 1.mp3,"Song,Old,Styles,Stage,Minimal",bâche,/albumcovers/bâche.webp
