title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Popular Culture,Barman-Pawlowski,,,2008,dEUS,Universal/V2,,,,/audio/Popular Culture1.mp3,"Song,Pop",Vantage Point,
Popular Culture,Barman-Pawlowski,,,2008,dEUS,Universal/V2,,,,/audio/Popular Culture2.mp3,"Song,Pop",Vantage Point,
Prequel,Van Nueten,feature film,Night Has Come,2016,,,,,,/audio/Prequel.mp3,"Electronic,Contemporary,Film",,
Promio,Van Nueten,silent movie,"Bruxelles, Ville en Images",2014,,Royal Film Archive of Belgium,,,https://youtu.be/P95nhcMyEyw,/audio/Promio.mp3,"Piano,Old Styles,Film","Bruxelles, Ville en Images",
PulsTrioKraak,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=WQFt8-ydpQI&t=0s&list=PLsmvutRI5QqWe2xlZh1niJ6ZAG-nbi1xI&index=3,/audio/PulsTrioKraak1.mp3,"Electronic,Film,Minimal",,
PulsTrioKraak,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=WQFt8-ydpQI&t=0s&list=PLsmvutRI5QqWe2xlZh1niJ6ZAG-nbi1xI&index=3,/audio/PulsTrioKraak2.mp3,"Electronic,Film,Minimal",,
Pulsar,Van Nueten,feature film,Pulsar,2010,,,,http://open.spotify.com/track/1fDtnnwVZpwykCmAMzRKDr,,/audio/Pulsar1.mp3,"Piano,Classical,Contemporary",,
Pulsar,Van Nueten,feature film,Pulsar,2010,,,,http://open.spotify.com/track/1fDtnnwVZpwykCmAMzRKDr,,/audio/Pulsar2.mp3,"Piano,Classical,Contemporary",,
Put Your Love Jacket On,Pawlowski-Deweze-Houben,,,1999,Mitsoobsishy Jacson,Heavenhotel,,,,/audio/Put Your Love Jacket On1.mp3,"Song,Pop",Boys Together Outrageously,
Put Your Love Jacket On,Pawlowski-Deweze-Houben,,,1999,Mitsoobsishy Jacson,Heavenhotel,,,,/audio/Put Your Love Jacket On2.mp3,"Song,Pop",Boys Together Outrageously,
Put Your Love Jacket On,Pawlowski-Deweze-Houben,,,1999,Mitsoobsishy Jacson,Heavenhotel,,,,/audio/Put Your Love Jacket On3.mp3,"Song,Pop",Boys Together Outrageously,
Come Back Quincy,Van Nueten,,,,Vanity Project (2015),,,,,/audio/Quincy.mp3,"Electronic,Pop,Rock,Live",,
Rags 'n' Run,Tom Van Laere,,,2003,Admiral Freebee,Universal,,,https://www.youtube.com/watch?v=Ajd810dHxcM&t=0s&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg&index=2,/audio/Rags 'n' Run 1.mp3,"Song,Pop",Admiral Freebee,
Rags 'n' Run,Tom Van Laere,,,2003,Admiral Freebee,Universal,,,https://www.youtube.com/watch?v=Ajd810dHxcM&t=0s&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg&index=2,/audio/Rags 'n' Run 2.mp3,"Song,Pop",Admiral Freebee,
Rags 'n' Run,Tom Van Laere,,,2003,Admiral Freebee,Universal,,,https://www.youtube.com/watch?v=Ajd810dHxcM&t=0s&list=PLsmvutRI5QqVv8IcilXTBLp_msLxgoiBg&index=2,/audio/Rags 'n' Run 3.mp3,"Song,Pop",Admiral Freebee,
Raoul Dessine,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Dessine (Prise 1).mp3,"Electronic,Film,Minimal",,
Raoul Dessine,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Dessine1.mp3,"Piano,Minimal,Film",,
,,,,,,,,,,/audio/Raoul Générique 1ère prise.mp3,"Piano,Contemporary,Film",,
Loop,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Loop.mp3,"Electronic,Contemporary,Minimal,Film",,
Montage,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Montage Piano.mp3,"Piano,Contemporary,Film",,
Montage,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Montage.mp3,"Electronic,Contemporary,Film",,
Variation Optimiste,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Raoul Variation Optimiste.mp3,"Piano,Contemporary,Film",,
Rebound Love,Tom Van Laere,,,2003,Admiral Freebee,Universal,,,,/audio/Rebound Love.mp3,"Song,Pop",Admiral Freebee,
Reggae Geel,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Reggae Geel.mp3,"Piano,Stage,Pop",,
Repelsteeltje Deel 3,Van Nueten,musical theatre,The Medium,2015,,,,,,/audio/Repelsteeltje Deel 3.mp3,"Piano,Stage",,
Repelsteeltje after Dark,Van Nueten,musical theatre,The Medium,2014,,,,,,/audio/Repelsteeltje after Dark.mp3,"Electronic,Contemporary,Stage",,
Reprimand,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Reprimand1.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Reprimand,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Reprimand2.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
River Man,Nick Drake,,,2003,Tom Barman & Guy Van Nueten,Universal,"De Singel, Antwerp, Belgium, 12-01-2001",,,/audio/River Man (duo).mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
River Man,Nick Drake,,,2003,"Tom Barman, Guy Van Nueten & The Royal Flemish Philharmonic",Universal,"Concertgebouw, 16-11-2002, Bruges, Belgium",,,/audio/River Man.mp3,"Song,Orchestral,Pop,Live",,
,,,,,,,,,,/audio/Roeskapoeskaprot.mp3,"Pop,Stage",,
S.O.S.,Andersson - Ulvaeus - Stig Anderson,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,https://youtu.be/2A1alpHxpCQ,/audio/S.O.S. 2.mp3,"Live,Pop,Song",,
S.O.S.,Andersson - Ulvaeus - Stig Anderson,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,https://youtu.be/2A1alpHxpCQ,/audio/S.O.S.1.mp3,"Live,Pop,Song",,
Sail Your Ship,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Sail Your Ship.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
Saïda,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,,,,,/audio/Saïda.mp3,"Piano,Film","Bruxelles, Ville en Images",
Sarabande,J.S. Bach (1685-1750),,,2009,Guy Van Nueten,Bolli Records/62TV,,http://open.spotify.com/track/5w7M4sgrhjbq9mAW4yglcK,,/audio/Sarabande.mp3,"Piano,Old Styles,Baroque",Merg,/albumcovers/Merg.webp
Sekwens Nr.1,Van Nueten,theatre piece,Of Mice and Men,2003,,,,,,/audio/Sekwens Nr.1.mp3,"Electronic,Stage,Minimal",,
Serpentine,Tom Barman,,,2003,Tom Barman & Guy Van Nueten,Universal,"Hard Club, Porto, Portugal, 1-03-2002",,,/audio/Serpentine1.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Serpentine,Tom Barman,,,2003,Tom Barman & Guy Van Nueten,Universal,"Hard Club, Porto, Portugal, 1-03-2002",,,/audio/Serpentine2.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Séance,Van Nueten,musical theatre,The Medium,2014,,,,,,/audio/Séance.mp3,"Electronic,Contemporary,Stage",,
She's so Beautiful,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/She's so Beautiful.mp3,"Rock,Live,Pop",,
Shopping,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,,,,,/audio/Shopping.mp3,"Piano,Minimal,Film","Bruxelles, Ville en Images",
Sirens,Barman-Pawlowski-Janzoons-Misseghers-Gevaert,,,2012,dEUS,PIAS,,,,/audio/Sirens.mp3,"Song,Pop",Following Sea,
Six o' Clock Blues,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Six o'Clock Blues.mp3,"Rock,Live,Pop",,
Sky is Blue,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/Sky Is Blue.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
Slomo,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Slomo.mp3,"Piano,Classical,Contemporary,Minimal",,
Solitary Space,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,https://youtu.be/OnGYdflaQ1M,/audio/Solitary Space.mp3,"Electronic,Stage",,
Some Kinda Love,Lou Reed,,,2004,Tom Barman & Guy Van Nueten,,"Dranouter Festival, 7-8-2004, Dranouter, Belgium",,,/audio/Some Kinda Love 1.mp3,"Live,Pop,Song",,
Some Kinda Love,Lou Reed,,,2004,Tom Barman & Guy Van Nueten,,"Dranouter Festival, 7-8-2004, Dranouter, Belgium",,,/audio/Some Kinda Love 2.mp3,"Live,Pop,Song",,
Some Refuse the Treatment,Verhelst-Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Some Refuse the Treatment+VO.mp3,"Electronic,Pop,Film",,
Sometimes I Wanna Run,Vanhamel,,,2008,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/Sometimes I Wanna Run.mp3,"Live,Pop,Song",,
Sometimes,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,https://youtu.be/nwTx4eupE2Q,/audio/Sometimes.mp3,"Song,Pop",The Sands,/albumcovers/The Sands.webp
Sons of Grey,Stuyven,,,2003,Daan,Tracks,,,,/audio/Sons of Grey1.mp3,"Pop,Song,Electronic",Bridge Burner,
Sons of Grey,Stuyven,,,2003,Daan,Tracks,,,,/audio/Sons of Grey2.mp3,"Pop,Song,Electronic",Bridge Burner,
Soul Decoder,Van Nueten,feature film,Pulsar,2010,,,,,,/audio/Soul Decoder.mp3,"Piano,Film,Minimal",,
Sunchild,Stuyven,,,2003,Daan,Tracks,,,https://youtu.be/5CoykZwoV1c?feature=shared,/audio/Sunchild1.mp3,"Pop,Song,Electronic,Stage",Bridge Burner,
Sunchild,Stuyven,,,2003,Daan,Tracks,,,https://youtu.be/5CoykZwoV1c?feature=shared,/audio/Sunchild2.mp3,"Pop,Song,Electronic",Bridge Burner,
Syncdelay,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Syncdelay.mp3,"Electronic,Contemporary,Stage,Minimal",,
Take Me Home,Tim Vanhamel,,,,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/Take Me Home1.mp3,"Live,Pop,Song",,
Take Me Home,Tim Vanhamel,,,,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/Take Me Home2.mp3,"Live,Pop,Song",,
Takhiti,Van Nueten,,,,Vanity Project feat. Alan Gevaert,,"Bar du Matin, 25-10-2015, Bozar Brussels, Belgium",,,/audio/Takhiti.mp3,"Rock,Live,Pop",,
Talking to the Police,Van Nueten,feature film,Milo,2015,Guy Van Nueten,Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Talking to the Police.mp3,"Piano,Solo,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Target Practice,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Target Practice1.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Target Practice,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Target Practice2.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Tell Me,Vanhamel,,,2008,Tim Vanhamel,,"StuBru Club 69,Brussels, Belgium, 14-11-2008",,,/audio/Tell Me.mp3,"Live,Pop,Song",,
The Build Up,Boe - Oeye - Feist,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,,/audio/The Build Up.mp3,"Live,Pop,Song",,
The Final Workout,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/The Final Workout 1.mp3,"Electronic,Pop,Stage",bâche,/albumcovers/bâche.webp
The Final Workout,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/The Final Workout 2.mp3,"Electronic,Pop,Stage",bâche,/albumcovers/bâche.webp
The Goldbird has flown,Van Nueten,dance performance,bâche,2005,,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/The Goldbird has flown 1.mp3,"Electronic,Pop,Stage",bâche,/albumcovers/bâche.webp
The Night,Van Nueten,feature film,Night Has Come,2016,,Sony Classical,,,,/audio/The Night I. Finis Mundi.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
The Night II. Weeping Song,Van Nueten,,,2018,,Sony Classical,,http://open.spotify.com/album/4tEc1sl5n3rckx4PQxKv6r,https://www.youtube.com/watch?v=Rdn89bogXM0&list=PLsmvutRI5QqUYkIcZoK0iDImB7G4cgisR&t=0s&index=5,/audio/The Night II. Weeping Song.mp3,"Piano,Classical,Contemporary,Minimal",Contact,/albumcovers/Contact.webp
The Night,Van Nueten,feature film,Night Has Come,2016,,,,,,/audio/The Night.mp3,"Electronic,Piano,Contemporary,Film",,
The Parasite,Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/The Parasite.mp3,"Electronic,Contemporary,Minimal,Film",,/albumcovers/NIGHT HAS COME(EP-cover) copy.jpg
The Reveal,Van Nueten,upcoming album,Decent Music,2024,"Milo Chamber Orchestra, directed by Dirk De Caluwe",Bolli Records,,https://open.spotify.com/artist/6LQRyga459hm5w9HCzARFu,https://youtu.be/PlyPIDqGgow,/audio/The Reveal.mp3,"Piano,Orchestral,Film,Contemporary",Decent Music,/albumcovers/Artwork The Reveal.JPG
The Sally Gardens,Yeats/Traditional,dance performance,bâche,2005,Guy Van Nueten & Steve Dugardin,Lowlands,,https://open.spotify.com/album/7ftzIX71VNmGxtOEN905VF,,/audio/The Sally Gardens 1.mp3,"Old Styles,Song,Stage",bâche,/albumcovers/bâche.webp
The Season Song,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/The Season Song.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
Thema 1,Verhelst-Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Thema 1 piano.mp3,"Piano,Contemporary,Film",,
Thema 1,Verhelst-Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Thema 1+voice-over.mp3,"Piano,Contemporary,Film",,
Thema 1,Verhelst-Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Thema 1.mp3,"Electronic,Piano,Contemporary,Film",,
Thema Driehoek,Van Nueten,feature film,Night Has Come,2016,,,,,,/audio/Thema Driehoek.mp3,"Piano,Contemporary,Film",,
Thema Q,Van Nueten,feature film,Night Has Come,2016,,,,,,/audio/Thema Q.mp3,"Piano,Contemporary,Film",,
Thema Z naar Thema 1,Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/Thema Z naar Thema 1 pp.mp3,"Piano,Contemporary,Film",,
Thema Z naar Thema 2,Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/Thema Z naar Thema 2 ff.mp3,"Electronic,Piano,Contemporary,Film",,
Thema Z naar Thema 2,Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/Thema Z naar Thema 2.mp3,"Electronic,Piano,Contemporary,Film",,
Thema Z,Van Nueten,feature film,Night Has Come,2016,,,,,,/audio/Thema Z.mp3,"Piano,Contemporary,Film",,
Thema 1 extended,Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Thema1 ext+VO.mp3,"Electronic,Piano,Contemporary,Film",,
Thema 1 extended,Van Nueten,feature film,Night Has Come,2017,,,,,,/audio/Thema1 extended.mp3,"Piano,Classical,Contemporary,Film",,
Thème Lent et Vide,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Thème Lent et Vide.mp3,"Piano,Minimal,Contemporary,Film",,
Thirty Silver Coins,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Thirty Silver Coins1.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Thirty Silver Coins,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Thirty Silver Coins2.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
This Place,Van Nueten,advertisement,X,2007,"Vanhamel, Gevaert, Van Nueten, Van den Berghe",,,,,/audio/This Place 1.mp3,"Pop,Film",,
This Place,Van Nueten,advertisement,X,2007,"Vanhamel, Gevaert, Van Nueten, Van den Berghe",,,,,/audio/This Place 2.mp3,"Pop,Film",,
This Place,Van Nueten,advertisement,X,2007,"Vanhamel, Gevaert, Van Nueten, Van den Berghe",,,,,/audio/This Place 3.mp3,"Pop,Film",,
Thru,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Thru.mp3,"Rock,Live,Pop",,
Thunder,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Thunder.mp3,"Electronic,Stage,Minimal",,
Tigerpants,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Tigerpants1.mp3,"Rock,Live,Pop",,
Tigerpants,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Tigerpants2.mp3,"Rock,Live,Pop",,
Tigerpants,44 Rave,,,,44 Rave,,"Rodeofest, Spiegeltent 28-07-2012 Antwerp, Belgium",,,/audio/Tigerpants3.mp3,"Rock,Live,Pop",,
Tiptoe through the Tulips,Dubin-Burke,,,,Gregory Frateur & Guy Van Nueten,,"Acht Academy, 27-11-2011, Hasselt, Belgium",,https://youtu.be/JhkBzZi3Fdc,/audio/Tiptoe through the Tulips.mp3,"Live,Pop,Song",,
To Hit A Dog Just Find A Stick,Van Nueten,dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/To Hit A Dog Just Find A 1.mp3,"Contemporary,Chamber,Stage",,
To Hit A Dog Just Find A Stick,Van Nueten,dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/To Hit A Dog Just Find A 2.mp3,"Contemporary,Stage",,
To Hit A Dog Just Find A Stick,Van Nueten,dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/To Hit A Dog Just Find A 3.mp3,"Contemporary,Stage",,
Tobydrone,Van Nueten,musical theatre,The Medium,2015,,,,,,/audio/Tobydrone.mp3,"Electronic,Minimal,Stage",,
Too Dark To Dream,Deweze,,,2002,Sukilove,Hidden Agenda Records,,,,/audio/Too Dark To Dream.mp3,"Song,Pop",Talking in the Dark,
Too Good To Be True,Van Dijk-Van Nueten,,,2002,Chitlin' Fooks,Hidden Agenda Records-Palomine Records-Pias,,,,/audio/Too Good To Be True.mp3,"Pop,Song",Chitlin' Fooks,
Tortel,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=7n-M8CA1XDQ&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=1,/audio/Tortel.mp3,"Piano,Film",,
Toto,Van Nueten,silent movie collection,"Bruxelles, Ville en Images",2014,,,,,,/audio/Toto.mp3,"Piano,Film","Bruxelles, Ville en Images",
Transformatie,Van Nueten,film,Eva Reste au Placard les Nuits de Pleine Lune,2006,,,,,,/audio/Transformatie 1.mp3,"Orchestral,Film",,
Trap,Van Nueten,feature film,Ex-Drummer,2006,,,,,https://youtu.be/iC6_h05cVyA,/audio/Trap.mp3,"Electronic,Contemporary,Film,Minimal",,
Troostlied,Dendooven-Van Nueten,musical,Soepkinders,2004,Tine Embrechts & The Soup Group,,"CC Hasselt, Belgium, 20-04-2005",,https://youtu.be/sjdXCbUnxD0,/audio/Troostlied.mp3,"Pop,Song,Live",,
Trust and Control,Van Nueten,feature film,Pulsar,2010,,,,,https://www.youtube.com/watch?v=WQFt8-ydpQI&t=0s&list=PLsmvutRI5QqWe2xlZh1niJ6ZAG-nbi1xI&index=3,/audio/Trust and Control.mp3,"Electronic,Film,Minimal",,
Une Femme Comme Moi,Van Nueten,theatre piece,Beautiful Red Dress,2001,,,,,,/audio/Une Femme Comme Moi 1.mp3,"Pop,Electronic,Stage",,
Verb Nr.3,Van Nueten,musical theatre,The Medium,2014,,,,,,/audio/Verb3.mp3,"Electronic,Stage",,
,,,,,,,,,,/audio/Verveling.mp3,"Piano,Contemporary,Electronic,Minimal",,
Vide un peu effrayant,Van Nueten,documentary,Raoul Servais: Mémoires d'un Artisan,2017,,,,,,/audio/Vide un peu effrayant.mp3,"Piano,Minimal,Contemporary,Film",,
Vos Mépris,Michel Lambert (1610-1696),dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/Vos Mépris 1.mp3,"Old Styles,Arrangement,Stage",,
Vos Mépris,Michel Lambert (1610-1696),dance performance,Import/Export,2006,Kirke String Quartet,,,,,/audio/Vos Mépris 2.mp3,"Old Styles,Arrangement,Stage",,
Wals met Briljanten I. Rubato,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/0kcHFsigk1FDwEmEMzFMmj?si=8e2fb605f44b469e,,/audio/Wals met Briljanten I-II.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Wals met Briljanten I. Rubato,Van Nueten,,,2018,,Sony Classical,,,,/audio/Wals met Briljanten I. Rubato.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Wals met Briljanten II. Allegro Vivace,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/4mhKi3cayTVtfMG4YpGIjf?si=fd1f3f9580624b63,https://youtu.be/0_gNb6iCvcA?si=D8UHY-AgyFr0DCPC,/audio/Wals met Briljanten II. Allegro Vivace.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Wals met Briljanten III. Allegretto,Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/5AbCbTqpo7NRgw5qNXyKvP?si=d0c450f426824ce1,,/audio/Wals met Briljanten III. Allegretto.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Wals met Briljanten IV. Allegro Vivace 'Fraise Sauvage',Van Nueten,,,2018,,Sony Classical,,https://open.spotify.com/track/402pR1gsmxJeYax3PeR81a?si=f4e532a675c9413b,https://youtu.be/cwieQWVHbdw,/audio/Wals met Briljanten IV. Allegro Vivace 'Fraise Sauvage'.mp3,"Piano,Classical,Contemporary",Contact,/albumcovers/Contact.webp
Waves The Mermaid,Van Nueten,musical theatre,Solitary Confinement,2013,,,,,,/audio/Waves The Mermaid.mp3,"Electronic,Stage,Minimal",,
We're Seeing Him Home,Van Nueten,feature film,Milo,2015,,Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/We're Seeing Him Home.mp3,"Piano,Solo,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
When Fever Hits,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/When Fever Hits 1.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
When Fever Hits,Vanderhaeghen-Van Nueten,,,1995,The Sands,Megadisc/MCA,,https://open.spotify.com/album/3rTmrfPsQhsAroP66BYpdY,,/audio/When Fever Hits 2.mp3,"Pop,Song",The Sands,/albumcovers/The Sands.webp
Who am I?,Verhelst-Van Nueten,feature film,Night Has Come,2017,Johan Leysen & Guy Van Nueten,,,,,/audio/Who Am I.mp3,"Electronic,Pop,Film",,/albumcovers/NIGHT HAS COME(EP-cover) copy.jpg
Wiegelied,Van Nueten,musical,Het Takkenkind,2010,Guy Van Nueten,,,,,/audio/Wiegelied.mp3,Piano,,
Wilde Take,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/Wilde Take.mp3,"Electronic,Stage,Minimal",,
Zij,Van Nueten,film,Jaguar,2003,,,,,,/audio/Zij 1.mp3,"Minimal,Pop,Film",,
Zomerstranden,Dendooven-Van Nueten,musical,Soepkinders,2005,"Charlotte Vandermeersch, Koen Van Impe & The Soup Group",,,,,/audio/Zomerstranden.mp3,"Pop,Song",,
